+ACI-Manufacture Part Number+ACI-,+ACI-Description+ACI-,+ACI-Order Qty.+ACI-,+ACI-Unit Price+ACI-,+ACI-Unit Price (ZAR)+ACI-,+ACI-Order Price+ACI-,+ACI-Order Price (ZAR)+ACI-
+ACI-SZYY1206B+ACI-,+ACI-+//0A5v/9AJf//QCg//0A6P/9AIn//QCy//0A6f/9AID//QCP//0A5v/9AJj//QCO//0A6f/9AID//QCP//0A6f/9AJX//QCc- +AC0-40+//0A4v/9AIT//QCDAH7znv/9- 460nm+AH4-475nm Blue 120+//0Awv/9ALA- 100mW 1206  Light Emitting Diodes (LED) ROHS+ACI-,6000,0.0088,0.168876,52.8,1013.256
+ACI-FRC0603F6802TS+ACI-,+ACI-100mW Thick Film Resistors +//0Awv/9ALE-100ppm/+//0A4v/9AIT//QCD- +//0Awv/9ALE-1+ACU- 68000+//0Azv/9AKk- 0603  Chip Resistor +AC0- Surface Mount ROHS+ACI-,15000,0.0005,0.009595,7.5,143.925
+ACI-FSS2302S+ACI-,+ACI-20V 2.5A 1000mW 55m+//0Azv/9AKkAQA-4.5V,3.6A 1.5V+AEA-250uA N Channel SOT+AC0-23  MOSFETs ROHS+ACI-,6000,0.009,0.172714,54,1036.284
+ACI-AMS1117+AC0-3.3+ACI-,+ACI- SOT+AC0-223  Linear Voltage Regulators (LDO) ROHS+ACI-,200,0.0243,0.466328,4.86,93.2656
+ACI-RT1C102M1010+ACI-,+ACI-1000uF 16V 320mA+AEA-120Hz +//0Awv/9ALE-20+ACU- SMD,D10xL10.2mm  Aluminum Electrolytic Capacitors +AC0- SMD ROHS+ACI-,1500,0.0564,1.082343,84.6,1623.5145
+ACI-DC+AC0-470+AC0-2.1GP+ACI-,+ACI-Right+AC0-Angle DC Power Receptacle +AC0-40+//0A4v/9AIT//QCDAH7nnv/9- 2.1mm 6.3mm 500mA 30V Plugin  AC/DC Power Connectors ROHS+ACI-,100,0.0601,1.153347,6.01,115.3347
+ACI-SMAJ8.5CA+ACI-,+ACI-27.8A 14.4V 9.44V 8.5V SMA  TVS ROHS+ACI-,500,0.0224,0.429867,11.2,214.9335
+ACI-PCD0403KT151+ACI-,+ACI-212mA 150uH +//0Awv/9ALE-10+ACU- SMD  Power Inductors ROHS+ACI-,190,0.0602,1.155266,11.44,219.50054
+ACI-SLF0403+AC0-150MTT+ACI-,+ACI-920mA 15uH +//0Awv/9ALE-20+ACU- SMD  Power Inductors ROHS+ACI-,200,0.0335,0.642881,6.7,128.5762
+ACI-SLF0403+AC0-101MTT+ACI-,+ACI-440mA 100uH +//0Awv/9ALE-20+ACU- SMD  Power Inductors ROHS+ACI-,200,0.0302,0.579552,6.04,115.9104
+ACI-FNR6045S222MT+ACI-,+ACI-0.2A 2200uH +//0Awv/9ALE-20+ACU- 0.23A SMD,6x6mm  Power Inductors ROHS+ACI-,200,0.08,1.535238,16,307.0476
+ACI-C5305+ACI-,+ACI-Open Top 3A 2.54mm P+AD0-2.54mm  Shunts +ACY- Jumpers ROHS+ACI-,2000,0.0061,0.117062,12.2,234.124
+ACI-MJD32C+AC0-13+ACI-,+ACI-100V 15W 10+AEA-3A,4V 3A PNP TO+AC0-252+AC0-2  Bipolar Transistors +AC0- BJT ROHS+ACI-,200,0.1701,3.264299,34.02,652.8598
+ACI-MMBT4401+ACI-,+ACI-40V 300mW 100+AEA-150mA,1V 600mA NPN SOT+AC0-23  Bipolar Transistors +AC0- BJT ROHS+ACI-,6000,0.0067,0.128576,40.2,771.456
+ACI-1206B474K500CT+ACI-,+ACI-50V 470nF X7R +//0Awv/9ALE-10+ACU- 1206  Multilayer Ceramic Capacitors MLCC +AC0- SMD/SMT ROHS+ACI-,2000,0.0103,0.197662,20.6,395.324
+ACI-BL24C512A+AC0-PARC+ACI-,+ACI- SOP+AC0-8  EEPROM ROHS+ACI-,500,0.1558,2.989875,77.9,1494.9375
,,,,,,
+ACI-TotalZAR +AD0-81110.45+ACI-,,,,,,
